fecha,clausura
15/08/2016 00:00,565.79
16/08/2016 00:00,577.53
17/08/2016 00:00,570.47
18/08/2016 00:00,569.71
19/08/2016 00:00,572.11
20/08/2016 00:00,580
21/08/2016 00:00,578.47
22/08/2016 00:00,583.85
23/08/2016 00:00,580.71
24/08/2016 00:00,577.11
25/08/2016 00:00,576.99
26/08/2016 00:00,577.84
27/08/2016 00:00,567.41
28/08/2016 00:00,573
29/08/2016 00:00,571.5
30/08/2016 00:00,575.23
31/08/2016 00:00,570.76
01/09/2016 00:00,571.6
02/09/2016 00:00,572
03/09/2016 00:00,592.5
04/09/2016 00:00,604.25
05/09/2016 00:00,603.74
06/09/2016 00:00,608.96
07/09/2016 00:00,614.39
08/09/2016 00:00,625.66
09/09/2016 00:00,622
10/09/2016 00:00,622.01
11/09/2016 00:00,603.8
12/09/2016 00:00,607
13/09/2016 00:00,607.73
14/09/2016 00:00,607.89
15/09/2016 00:00,605.21
16/09/2016 00:00,605.9
17/09/2016 00:00,604.04
18/09/2016 00:00,608
19/09/2016 00:00,607.88
20/09/2016 00:00,606.95
21/09/2016 00:00,594.66
22/09/2016 00:00,593.95
23/09/2016 00:00,602.53
24/09/2016 00:00,600.14
25/09/2016 00:00,597.41
26/09/2016 00:00,604.28
27/09/2016 00:00,604.57
28/09/2016 00:00,603.71
29/09/2016 00:00,604.96
30/09/2016 00:00,608.26
01/10/2016 00:00,612
02/10/2016 00:00,608.59
03/10/2016 00:00,611.06
04/10/2016 00:00,607.18
05/10/2016 00:00,610.98
06/10/2016 00:00,610.34
07/10/2016 00:00,614.23
08/10/2016 00:00,614.48
09/10/2016 00:00,613.61
10/10/2016 00:00,615.37
11/10/2016 00:00,638.91
12/10/2016 00:00,635.06
13/10/2016 00:00,635.61
14/10/2016 00:00,638.38
15/10/2016 00:00,636.01
16/10/2016 00:00,638.09
17/10/2016 00:00,635.69
18/10/2016 00:00,635.58
19/10/2016 00:00,627.98
20/10/2016 00:00,627.72
21/10/2016 00:00,628.99
22/10/2016 00:00,655
23/10/2016 00:00,649.69
24/10/2016 00:00,648.14
25/10/2016 00:00,648.33
26/10/2016 00:00,673.14
27/10/2016 00:00,682.67
28/10/2016 00:00,685.29
29/10/2016 00:00,712.06
30/10/2016 00:00,696.36
31/10/2016 00:00,697.67
01/11/2016 00:00,726.6
02/11/2016 00:00,732.99
03/11/2016 00:00,681.03
04/11/2016 00:00,702.98
05/11/2016 00:00,703.63
06/11/2016 00:00,710.22
07/11/2016 00:00,706.5
08/11/2016 00:00,710.19
09/11/2016 00:00,720.44
10/11/2016 00:00,714.5
11/11/2016 00:00,715.82
12/11/2016 00:00,703
13/11/2016 00:00,701.51
14/11/2016 00:00,704.7
15/11/2016 00:00,710.82
16/11/2016 00:00,737.99
17/11/2016 00:00,737
18/11/2016 00:00,745.99
19/11/2016 00:00,749.57
20/11/2016 00:00,727.09
21/11/2016 00:00,736.97
22/11/2016 00:00,746.61
23/11/2016 00:00,740.17
24/11/2016 00:00,735.7
25/11/2016 00:00,737.03
26/11/2016 00:00,729.87
27/11/2016 00:00,726.12
28/11/2016 00:00,730.98
29/11/2016 00:00,730.99
30/11/2016 00:00,742.06
01/12/2016 00:00,751.6
02/12/2016 00:00,769.99
03/12/2016 00:00,762.79
04/12/2016 00:00,761.99
05/12/2016 00:00,750
06/12/2016 00:00,758.91
07/12/2016 00:00,766.85
08/12/2016 00:00,767.96
09/12/2016 00:00,769.49
10/12/2016 00:00,772.35
11/12/2016 00:00,768.19
12/12/2016 00:00,777.93
13/12/2016 00:00,778.71
14/12/2016 00:00,776.29
15/12/2016 00:00,774.79
16/12/2016 00:00,780.35
17/12/2016 00:00,788.4
18/12/2016 00:00,788.68
19/12/2016 00:00,790.65
20/12/2016 00:00,801.02
21/12/2016 00:00,828.1
22/12/2016 00:00,858.94
23/12/2016 00:00,916
